Iteration: #130, Cost: 11287.63, Gradient Magnitude: 137.88
Iteration: #131, Cost: 11240.38, Gradient Magnitude: 137.53
Iteration: #132, Cost: 11193.38, Gradient Magnitude: 137.18
Iteration: #133, Cost: 11146.62, Gradient Magnitude: 136.84
Iteration: #134, Cost: 11100.10, Gradient Magnitude: 136.50
Iteration: #135, Cost: 11053.82, Gradient Magnitude: 136.16
Iteration: #136, Cost: 11007.78, Gradient Magnitude: 135.83
Iteration: #137, Cost: 10961.97, Gradient Magnitude: 135.50
Iteration: #138, Cost: 10916.40, Gradient Magnitude: 135.16
Iteration: #139, Cost: 10871.05, Gradient Magnitude: 134.84
Iteration: #140, Cost: 10825.93, Gradient Magnitude: 134.51
Iteration: #141, Cost: 10781.04, Gradient Magnitude: 134.18
Iteration: #142, Cost: 10736.37, Gradient Magnitude: 133.86
Iteration: #143, Cost: 10691.93, Gradient Magnitude: 133.54
Iteration: #144, Cost: 10647.70, Gradient Magnitude: 133.22
Iteration: #145, Cost: 10603.69, Gradient Magnitude: 132.90
Iteration: #146, Cost: 10559.90, Gradient Magnitude: 132.59
Iteration: #147, Cost: 10516.33, Gradient Magnitude: 132.28
Iteration: #148, Cost: 10472.96, Gradient Magnitude: 131.97
Iteration: #149, Cost: 10429.81, Gradient Magnitude: 131.66
Iteration: #150, Cost: 10386.86, Gradient Magnitude: 131.35
Iteration: #151, Cost: 10344.13, Gradient Magnitude: 131.04
Iteration: #152, Cost: 10301.60, Gradient Magnitude: 130.74
Iteration: #153, Cost: 10259.27, Gradient Magnitude: 130.44
Iteration: #154, Cost: 10217.14, Gradient Magnitude: 130.13
Iteration: #155, Cost: 10175.22, Gradient Magnitude: 129.84
Iteration: #156, Cost: 10133.49, Gradient Magnitude: 129.54
Iteration: #157, Cost: 10091.97, Gradient Magnitude: 129.24
Iteration: #158, Cost: 10050.64, Gradient Magnitude: 128.95
Iteration: #159, Cost: 10009.50, Gradient Magnitude: 128.66
Iteration: #160, Cost: 9968.56, Gradient Magnitude: 128.36
Iteration: #161, Cost: 9927.81, Gradient Magnitude: 128.08
Iteration: #162, Cost: 9887.25, Gradient Magnitude: 127.79
Iteration: #163, Cost: 9846.87, Gradient Magnitude: 127.50
Iteration: #164, Cost: 9806.69, Gradient Magnitude: 127.22
Iteration: #165, Cost: 9766.69, Gradient Magnitude: 126.93
Iteration: #166, Cost: 9726.88, Gradient Magnitude: 126.65
Iteration: #167, Cost: 9687.25, Gradient Magnitude: 126.37
Iteration: #168, Cost: 9647.80, Gradient Magnitude: 126.09
Iteration: #169, Cost: 9608.53, Gradient Magnitude: 125.82
Iteration: #170, Cost: 9569.45, Gradient Magnitude: 125.54
Iteration: #171, Cost: 9530.54, Gradient Magnitude: 125.27
Iteration: #172, Cost: 9491.81, Gradient Magnitude: 124.99
Iteration: #173, Cost: 9453.25, Gradient Magnitude: 124.72
Iteration: #174, Cost: 9414.87, Gradient Magnitude: 124.45
Iteration: #175, Cost: 9376.67, Gradient Magnitude: 124.19
Iteration: #176, Cost: 9338.63, Gradient Magnitude: 123.92
Iteration: #177, Cost: 9300.77, Gradient Magnitude: 123.66
Iteration: #178, Cost: 9263.08, Gradient Magnitude: 123.39
Iteration: #179, Cost: 9225.55, Gradient Magnitude: 123.13
Iteration: #180, Cost: 9188.20, Gradient Magnitude: 122.87
Iteration: #181, Cost: 9151.01, Gradient Magnitude: 122.62
Iteration: #182, Cost: 9113.99, Gradient Magnitude: 122.36
Iteration: #183, Cost: 9077.14, Gradient Magnitude: 122.11
Iteration: #184, Cost: 9040.45, Gradient Magnitude: 121.86
Iteration: #185, Cost: 9003.92, Gradient Magnitude: 121.61
Iteration: #186, Cost: 8967.55, Gradient Magnitude: 121.37
Iteration: #187, Cost: 8931.35, Gradient Magnitude: 121.13
